32227, 小鎮, <all>, 床
32237, 小鎮, <all>, 書桌
32247, 小鎮, <all>, 衣櫃
32257, 小鎮, <all>, 置物架
32267, 小鎮, <all>, 畫架
32277, 小鎮, <all>, 浴室洗手台
32208, 小鎮, <all>, 水龍頭
32218, 小鎮, <all>, 馬桶
32228, 小鎮, <all>, 廚房水槽
32238, 小鎮, <all>, 冰箱
32248, 小鎮, <all>, 烤麵包機
32258, 小鎮, <all>, 料理區
32268, 小鎮, <all>, 客廳桌子
32278, 小鎮, <all>, 客廳沙發
32209, 小鎮, <all>, 書架
32219, 小鎮, <all>, 電腦
32229, 小鎮, <all>, 座位區
32239, 小鎮, <all>, 櫃檯內側
32249, 小鎮, <all>, 咖啡廳櫃檯內側
32259, 小鎮, <all>, 咖啡廳座位區
32269, 小鎮, <all>, 鋼琴
32279, 小鎮, <all>, 黑板
32210, 小鎮, <all>, 遊戲機
32220, 小鎮, <all>, 電腦桌
32230, 小鎮, <all>, 電腦
32240, 小鎮, <all>, 沙發
32250, 小鎮, <all>, 書架
32260, 小鎮, <all>, 閱覽桌
32270, 小鎮, <all>, 教室座位區
32280, 小鎮, <all>, 講台
32211, 小鎮, <all>, 藥局櫃檯內側
32221, 小鎮, <all>, 雜貨店櫃檯內側
32231, 小鎮, <all>, 藥局商品架
32241, 小鎮, <all>, 雜貨店商品架
32251, 小鎮, <all>, 藥局櫃檯
32261, 小鎮, <all>, 雜貨店櫃檯
32271, 小鎮, <all>, 補習班公佈欄
32281, 小鎮, <all>, 補習班櫃檯內側
32212, 小鎮, <all>, 補習班櫃檯
32222, 小鎮, <all>, 宿舍花園
32232, 小鎮, <all>, 住家花園
32242, 小鎮, <all>, 花園椅
32252, 小鎮, <all>, 公園花園
32262, 小鎮, <all>, 金爐
32272, 小鎮, <all>, 牌卡櫃
32282, 小鎮, <all>, 書櫃
32292, 小鎮, <all>, 香爐
32302, 小鎮, <all>, 功德箱
32312, 小鎮, <all>, 供桌
32322, 小鎮, <all>, 香案
32332, 小鎮, <all>, 拜墊
32342, 小鎮, <all>, 座椅區
32352, 小鎮, <all>, 公佈欄
32362, 小鎮, <all>, 緊急電話
